,A�o,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
137,2012,Chelsea,Yossi Benayoun,Israel,31,Extremo derecho
138,2012,Chelsea,Fernando Torres,España,27,Delantero centro
139,2012,Chelsea,Didier Drogba,Costa de marfil,33,Delantero centro
140,2012,Chelsea,Nicolas Anelka,Francia,32,Delantero centro
141,2012,Chelsea,Daniel Sturridge,Inglaterra,21,Delantero centro
142,2012,Bayern Munich,Manuel Neuer,Alemania,26,Portero
143,2012,Bayern Munich,Hans-Jörg Butt,Alemania,38,Portero
144,2012,Bayern Munich,Maximiliam Riedmüller,Alemania,24,Portero
145,2012,Bayern Munich,Rouven Sattelmaier,Alemania,24,Portero
146,2012,Bayern Munich,Holger Badstuber,Alemania,23,Defensa central 
147,2012,Bayern Munich,David Alaba,Austria,20,Defensa central 
148,2012,Bayern Munich,Jérôme Boateng,Alemania,23,Defensa central 
149,2012,Bayern Munich,Daniel Van Buyten,Bulgaria,34,Defensa central 
150,2012,Bayern Munich,Breno,Brasil,22,Defensa central 
151,2012,Bayern Munich,Danijel Pranji,Croacia,30,Lateral izquierdo
152,2012,Bayern Munich,Diego Contento,Alemania,22,Lateral izquierdo
153,2012,Bayern Munich,Philipp Lahm,Alemania,28,Lateral derecho
154,2012,Bayern Munich,Rafinha,Brasil,26,Lateral Derecho
155,2012,Bayern Munich,Luis Gustavo,Brasil,24,Mediocampista defensivo
156,2012,Bayern Munich,Anatoliy Tymoshchuk,Ucrania,33,Mediocampista defensivo
157,2012,Bayern Munich,Emre Can,Alemania,18,Mediocampista defensivo
158,2012,Bayern Munich,Bastian Schweinsteiger,Alemania,27,Mediocentro
159,2012,Bayern Munich,Toni Kroos,Alemania,22,Mediocentro
160,2012,Bayern Munich,Franck Ribéry,Francia,29,Extremo izquierdo
161,2012,Bayern Munich,Arjen Robben,Paises Bajos,28,Extremo derecho
162,2012,Bayern Munich,Thomas Müller,Alemania,22,Mediocampista ofensivo
163,2012,Bayern Munich,Mario Gómez,Alemania,26,Delantero centro
164,2012,Bayern Munich,Ivica Oli,Croacia,32,Delantero centro
165,2012,Bayern Munich,Nils Petersen,Alemania,23,Delantero centro
166,2012,Bayern Munich,Takashi Usami,Japón,20,Delantero centro
167,2013,Borussia Dortmund,Roman Weindenfeller,Alemania,32,Portero
168,2013,Borussia Dortmund,Mitchell Langerak,Australia,24,Portero
169,2013,Borussia Dortmund,Zlatan Alomerovic,Serbia,22,Portero
170,2013,Borussia Dortmund,Mats Hummels,Alemania,24,Defensa central 
171,2013,Borussia Dortmund,Neven Subotic,Serbia,24,Defensa central 
172,2013,Borussia Dortmund,Felipe Santana,Brasil,27,Defensa central 
173,2013,Borussia Dortmund,Koray Günter,Alemania,18,Defensa central 
174,2013,Borussia Dortmund,Marcel Halstenberg,Alemania,21,Defensa central 
175,2013,Borussia Dortmund,Marc Hornschuh,Alemania,22,Defensa central 
176,2013,Borussia Dortmund,Marcel Schmelzer,Alemania,25,Lateral izquierdo
177,2013,Borussia Dortmund,Chris Löwe,Alemania,24,Lateral izquierdo
178,2013,Borussia Dortmund,Lukasz Piszczek,Polonia,28,Lateral derecho
179,2013,Borussia Dortmund,Kevin Großkreutz,Alemania,24,Lateral derecho
180,2013,Borussia Dortmund,Patrick Owomoyela,Alemania,33,Lateral derecho
181,2013,Borussia Dortmund,Sven Bender,Alemania,24,Mediocampista defensivo
182,2013,Borussia Dortmund,Nuri ?ahin,Turquía,24,Mediocampista defensivo
183,2013,Borussia Dortmund,Sebastian Kehl,Alemania,33,Mediocampista defensivo
184,2013,Borussia Dortmund,Oliver Kirch,Alemania,30,Mediocampista defensivo
185,2013,Borussia Dortmund,Marvin Bakalorz,Alemania,23,Mediocampista defensivo
186,2013,Borussia Dortmund,Ilkay Gündo?an,Alemania,22,Mediocentro
187,2013,Borussia Dortmund,Moritz Leitner,Alemania,20,Mediocentro
188,2013,Borussia Dortmund,Leonardo Bittencourt,Alemania,19,Mediocentro
189,2013,Borussia Dortmund,Mustafa Amini,Australia,20,Mediocentro
190,2013,Borussia Dortmund,Mario Götze,Alemania,21,Mediocampista ofensivo
191,2013,Borussia Dortmund,Marco Reus,Alemania,24,Mediocampista ofensivo
192,2013,Borussia Dortmund,Jonas Hofmann,Alemania,20,mediocampista ofensivo
193,2013,Borussia Dortmund,Ivan Perisic,Croacia,24,Extremo izquierdo
194,2013,Borussia Dortmund,Jakub Blaszczykowski,Polonia,27,Extremo izquierdo
195,2013,Borussia Dortmund,Robert Lewandowski,Polonia,24,Delantero centro
196,2013,Borussia Dortmund,Julian Schieber,Alemania,24,Delantero centro
197,2013,Borussia Dortmund,Bálint Bajner,Hungría,22,Delantero centro
198,2013,Bayern Munich,Manuel Neuer,Alemania,27,Portero
199,2013,Bayern Munich,Tom Starke,Alemania,32,Portero
200,2013,Bayern Munich,Lukas Raeder,Alemania,19,Portero
201,2013,Bayern Munich,Maximiliam Riedmüller,Alemania,25,Portero
202,2013,Bayern Munich,David Alaba,Austria,21,Defensa central 
203,2013,Bayern Munich,Jérôme Boateng,Alemania,24,Defensa central 
204,2013,Bayern Munich,Dante,Brasil,29,Defensa central 
205,2013,Bayern Munich,Holger Badstuber,Alemania,24,Defensa central 
206,2013,Bayern Munich,Daniel Van Buyten,Belgica,35,Defensa central 
207,2013,Bayern Munich,Diego Contento,Alemania,23,Lateral izquierdo
208,2013,Bayern Munich,Philipp Lahm,Alemania,29,Lateral derecho
209,2013,Bayern Munich,Rafinha,Brasil,27,Lateral derecho
210,2013,Bayern Munich,Mitchell Weiser,Alemania,19,Lateral derecho
211,2013,Bayern Munich,Vladimir Rankovic,Alemania,20,Lateral derecho
212,2013,Bayern Munich,Javi Martínez,España,24,Mediocampista defensivo
213,2013,Bayern Munich,Luiz Gustavo,Brasil,25,Mediocampista defensivo
214,2013,Bayern Munich,Anatoliy Tymoshchuk,Ucrania,34,Mediocampista defensivo
215,2013,Bayern Munich,Emre Can,Alemania,19,Mediocampista defensivo
216,2013,Bayern Munich,Pierre-Emile Højbjerg,Dinamarca,17,Mediocampista defensivo
217,2013,Bayern Munich,Bastian Schweinsteiger,Alemania,28,Mediocampista
218,2013,Bayern Munich,Toni Kroos,Alemania,23,Mediocampista
219,2013,Bayern Munich,Xherdan Shaqiri,Suiza,21,Mediocampista ofensivo
220,2013,Bayern Munich,Patrick Weihrauch,Alemania,19,Mediocampista ofensivo
221,2013,Bayern Munich,Franck Ribéry,Francia,30,Extremo izquierdo
222,2013,Bayern Munich,Arjen Robben,Paises Bajos,29,Extremo derecho
223,2013,Bayern Munich,Thomas Müller,Alemania,23,Mediocampista ofensivo
224,2013,Bayern Munich,Mario Gómez,Alemania,27,Delantero centro
225,2013,Bayern Munich,Mario Manduki?,Croacia,27,Delantero centro
226,2013,Bayern Munich,Claudio Pizarro,Perú,34,Delantero centro
227,2014,Real Madrid,Iker Casillas,España,33,Portero
