,Año,Equipo,Nombre,Nacionalidad,Edad,Posicion,season,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way,year,winner_score,runner_up_score
40,2011,Barcelona,Carles Puyol,EspaÃ±a,33,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
41,2011,Barcelona,Gabriel Milito,Argentina,30,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
42,2011,Barcelona,Marc Munisa,EspaÃ±a,19,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
43,2011,Barcelona,Andreu FontÃ¡s,EspaÃ±a,21,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
44,2011,Barcelona,Marc Bartra,EspaÃ±a,20,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
45,2011,Barcelona,Sergi Gomez,EspaÃ±a,19,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
46,2011,Barcelona,Eric Abidal,Francia,31,Lateral izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
47,2011,Barcelona,Adriano ,Brasil,26,Lateral izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
48,2011,Barcelona,Maxwell,Brasil,29,Lateral izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
49,2011,Barcelona,MartÃ­n Montoya,EspaÃ±a,20,Lateral derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
50,2011,Barcelona,Sergio Busquets,EspaÃ±a,22,Mediocampista defensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
51,2011,Barcelona,Javier Mascherano,Argentina,27,Mediocampista defensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
52,2011,Barcelona,Jonathan dos Santos,MÃ©xico,22,Mediocampista defensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
53,2011,Barcelona,AndrÃ©s Iniesta,EspaÃ±a,27,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
54,2011,Barcelona,Xavi,EspaÃ±a,31,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
55,2011,Barcelona,Seydou Keita,Senegal,31,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
56,2011,Barcelona,Thiago AlcÃ¡ntara,EspaÃ±a,20,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
57,2011,Barcelona,Sergi Roberto,EspaÃ±a,19,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
