Año,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
2013,Borussia Dortmund,Oliver Kirch,Alemania,30,Mediocampista defensivo
2013,Borussia Dortmund,Marvin Bakalorz,Alemania,23,Mediocampista defensivo
2013,Borussia Dortmund,Ilkay Gündo?an,Alemania,22,Mediocentro
2013,Borussia Dortmund,Moritz Leitner,Alemania,20,Mediocentro
2013,Borussia Dortmund,Leonardo Bittencourt,Alemania,19,Mediocentro
2013,Borussia Dortmund,Mustafa Amini,Australia,20,Mediocentro
2013,Borussia Dortmund,Mario Götze,Alemania,21,Mediocampista ofensivo
2013,Borussia Dortmund,Marco Reus,Alemania,24,Mediocampista ofensivo
2013,Borussia Dortmund,Jonas Hofmann,Alemania,20,mediocampista ofensivo
2013,Borussia Dortmund,Ivan Perisic,Croacia,24,Extremo izquierdo
2013,Borussia Dortmund,Jakub Blaszczykowski,Polonia,27,Extremo izquierdo
2013,Borussia Dortmund,Robert Lewandowski,Polonia,24,Delantero centro
2013,Borussia Dortmund,Julian Schieber,Alemania,24,Delantero centro
2013,Borussia Dortmund,Bálint Bajner,Hungría,22,Delantero centro
2013,Bayern Múnich,Manuel Neuer,Alemania,27,Portero
2013,Bayern Múnich,Tom Starke,Alemania,32,Portero
2013,Bayern Múnich,Lukas Raeder,Alemania,19,Portero
2013,Bayern Múnich,Maximiliam Riedmüller,Alemania,25,Portero
2013,Bayern Múnich,David Alaba,Austria,21,Defensa central 
2013,Bayern Múnich,Jérôme Boateng,Alemania,24,Defensa central 
2013,Bayern Múnich,Dante,Brasil,29,Defensa central 
2013,Bayern Múnich,Holger Badstuber,Alemania,24,Defensa central 
2013,Bayern Múnich,Daniel Van Buyten,Belgica,35,Defensa central 
2013,Bayern Múnich,Diego Contento,Alemania,23,Lateral izquierdo
2013,Bayern Múnich,Philipp Lahm,Alemania,29,Lateral derecho
2013,Bayern Múnich,Rafinha,Brasil,27,Lateral derecho
2013,Bayern Múnich,Mitchell Weiser,Alemania,19,Lateral derecho
2013,Bayern Múnich,Vladimir Rankovic,Alemania,20,Lateral derecho
2013,Bayern Múnich,Javi Martínez,España,24,Mediocampista defensivo
2013,Bayern Múnich,Luiz Gustavo,Brasil,25,Mediocampista defensivo
2013,Bayern Múnich,Anatoliy Tymoshchuk,Ucrania,34,Mediocampista defensivo
2013,Bayern Múnich,Emre Can,Alemania,19,Mediocampista defensivo
2013,Bayern Múnich,Pierre-Emile Højbjerg,Dinamarca,17,Mediocampista defensivo
2013,Bayern Múnich,Bastian Schweinsteiger,Alemania,28,Mediocampista
2013,Bayern Múnich,Toni Kroos,Alemania,23,Mediocampista
2013,Bayern Múnich,Xherdan Shaqiri,Suiza,21,Mediocampista ofensivo
2013,Bayern Múnich,Patrick Weihrauch,Alemania,19,Mediocampista ofensivo
2013,Bayern Múnich,Franck Ribéry,Francia,30,Extremo izquierdo
2013,Bayern Múnich,Arjen Robben,Holanda,29,Extremo derecho
2013,Bayern Múnich,Thomas Müller,Alemania,23,Mediocampista ofensivo
2013,Bayern Múnich,Mario Gómez,Alemania,27,Delantero centro
2013,Bayern Múnich,Mario Mandžuki?,Croacia,27,Delantero centro
2013,Bayern Múnich,Claudio Pizarro,Perú,34,Delantero centro
2014,Real Madrid,Iker Casillas,España,33,Portero
2014,Real Madrid,Diego Lopez,España,32,Portero
2014,Real Madrid,Jesús Fernández,España,26,Portero
2014,Real Madrid,Sergio Ramos,España,28,Defensa central 
2014,Real Madrid,Raphaël Varane ,Francia,21,Defensa central 
2014,Real Madrid,Pepe,Portugal,31,Defensa central 
2014,Real Madrid,Nacho Fernández,España,24,Defensa central 
2014,Real Madrid,Diego Llorente,España,20,Defensa central 
2014,Real Madrid,Marcelo,Brasil,26,Lateral izquierdo
2014,Real Madrid,Fábio Coentrão,Portugal,26,Lateral izquierdo
2014,Real Madrid,Daniel Carvajal,España,22,Lateral derecho
2014,Real Madrid,Álvaro Arbeloa,España,31,Lateral derecho
2014,Real Madrid,Lucas Vázquez,España,22,Lateral derecho
2014,Real Madrid,Asier Illaramendi,España,24,Mediocampista defensivo
2014,Real Madrid,Xabi Alonso,España,32,Mediocampista defensivo
2014,Real Madrid,Casemiro,Brasil,22,Mediocampista defensivo
2014,Real Madrid,Omar Mascarell,Guinea Ecuatorial,21,Mediocampista defensivo
2014,Real Madrid,Luka Modric,Croacia,28,Mediocampista
2014,Real Madrid,Sami Khedira,Alemania,27,Mediocampista
2014,Real Madrid,José Rodríguez,España,19,Mediocampista
2014,Real Madrid,Isco,España,22,Mediocampista ofensivo
2014,Real Madrid,Jesé Rodríguez,España,21,Extremo izquierdo
2014,Real Madrid,Burgui,España,20,Extremo izquierdo
2014,Real Madrid,Gareth Bale,Gales,24,Extremo derecho
2014,Real Madrid,Ángel Di María,Argentina,26,Extremo derecho
2014,Real Madrid,Cristiano Ronaldo,Portugal,29,Extremo izquierdo
2014,Real Madrid,Karim Benzema,Francia,26,Delantero centro
2014,Real Madrid,Álvaro Morata,España,21,Delantero centro
2014,Real Madrid,Willian José,Brasil,22,Delantero centro
2014,Real Madrid,Raúl De Tomás,España,19,Delantero centro
2014,Atletico de Madrid,Thibaut Courtois,Belgica,22,Portero
2014,Atletico de Madrid,Daniel Aranzubia,España,34,Portero
2014,Atletico de Madrid,Bono,Marruecos,23,Portero
2014,Atletico de Madrid,David Gil,España,20,Portero
2014,Atletico de Madrid,Diego Godín,Uruguay,28,Defensa central 
2014,Atletico de Madrid,Miranda,Brasil,29,Defensa central 
2014,Atletico de Madrid,Toby Alderweireld,Belgica,25,Defensa central 
2014,Atletico de Madrid,Martín Demichelis,Argentina,33,Defensa central 
2014,Atletico de Madrid,José María Giménez,Uruguay,19,Defensa central 
2014,Atletico de Madrid,Filipe Luís,Brasil,28,Lateral izquierdo
2014,Atletico de Madrid,Emiliano Insúa,Argentina,25,Lateral izquierdo
2014,Atletico de Madrid,Lucas Hernández,Francia,18,Defensa central 
2014,Atletico de Madrid,Juanfran Torres,España,29,Lateral derecho
2014,Atletico de Madrid,Javier Manquillo,España,20,Lateral derecho
2014,Atletico de Madrid,Mario Suárez,España,27,Mediocampista defensivo
2014,Atletico de Madrid,Josuha Guilavogui,Francia,23,Mediocampista defensivo
2014,Atletico de Madrid,Koké,España,22,Mediocampista
2014,Atletico de Madrid,Gabi,España,30,Mediocampista
2014,Atletico de Madrid,Óliver Torres,España,19,Mediocampista
2014,Atletico de Madrid,Tiago Mendes,Portugal,33,Mediocampista
2014,Atletico de Madrid,Carlos Ramos,España,19,Mediocampista
2014,Atletico de Madrid,Cristian Rodríguez,Uruguay,28,Mediocampista
2014,Atletico de Madrid,Diego,Brasil,29,Mediocampista ofensivo
2014,Atletico de Madrid,José Sosa,Argentina,29,Mediocampista ofensivo
2014,Atletico de Madrid,Samu Saiz,España,23,Mediocampista ofensivo
2014,Atletico de Madrid,Arda Turan,Turquía,27,Extremo izquierdo
2014,Atletico de Madrid,Momar Ndoye,Senegal,22,Extremo izquierdo
2014,Atletico de Madrid,Diego Costa,España,25,Delantero centro
2014,Atletico de Madrid,Raúl García ,España,27,Delantero centro
2014,Atletico de Madrid,David Villa,España,32,Delantero centro
2014,Atletico de Madrid,Adrián López,España,26,Delantero centro
2014,Atletico de Madrid,Léo Baptistão,Brasil,21,Delantero centro
2014,Atletico de Madrid,Rubén Mesa,España,22,Delantero centro
2014,Atletico de Madrid,Héctor Hernández,España,18,Delantero centro
2015,Barcelona,Marc-André Ter Stegen,Alemania,23,Portero
2015,Barcelona,Claudio Bravo,Chile,32,Portero
2015,Barcelona,Jordi Masip,España,26,Portero
2015,Barcelona,Gerard Piqué,España,28,Defensa central 
2015,Barcelona,Marc Bartra,España,24,Defensa central 
2015,Barcelona,Thomas Vermaelen,Belgica,29,Defensa central 
2015,Barcelona,Edgar Ié,Guinea-Bissau,21,Defensa central 
2015,Barcelona,Jordi Alba,España,26,Lateral izquierdo
2015,Barcelona,Jérémy Mathieu,Francia,31,Lateral izquierdo
2015,Barcelona,Adriano,Brasil,30,Lateral izquierdo
2015,Barcelona,Martín Montoya,España,24,Lateral derecho
2015,Barcelona,Dani Alves,Brasil,32,Lateral derecho
2015,Barcelona,Douglas,Brasil,24,Lateral derecho
2015,Barcelona,Sergio Busquets,España,26,Mediocampista defensivo
2015,Barcelona,Javier Mascherano,Argentina,31,Mediocampista defensivo
2015,Barcelona,Sergi Samper,España,20,Mediocampista defensivo
2015,Barcelona,Diawandou Diagne,Senegal,20,Mediocampista defensivo
2015,Barcelona,Gerard Gumbau,España,20,Mediocampista defensivo
2015,Barcelona,Andrés Iniesta,España,31,Mediocampista
2015,Barcelona,Ivan Rakitic,Croacia,27,Mediocampista
2015,Barcelona,Sergi Roberto,España,23,Mediocampista
2015,Barcelona,Xavi,España,35,Mediocampista
2015,Barcelona,Rafinha,Brasil,22,Mediocampista ofensivo
2015,Barcelona,Alen Halilovic,Croacia,19,Mediocampista ofensivo
2015,Barcelona,Neymar,Brasil,23,Extremo izquierdo
2015,Barcelona,Lionel Messi,Argentina,28,Extremo derecho
2015,Barcelona,Pedro,España,27,Extremo derecho
2015,Barcelona,Munir El Haddadi,Marruecos,19,Extremo derecho
2015,Barcelona,Adama Traoré,España,19,Extremo derecho
2015,Barcelona,Luis Suárez,Uruguay,28,Delantero centro
2015,Barcelona,Sandro Ramírez,España,19,Delantero centro
2015,Juventus,Gianluigi Buffon ,Italia,37,Portero
2015,Juventus,Marco Storari,Italia,38,Portero
2015,Juventus,Emil Audero,Italia,18,Portero
2015,Juventus,Rubinho,Brasil,32,Portero
2015,Juventus,Giacomo Volpe,Italia,19,Portero
2015,Juventus,Mattia Del Favero,Italia,17,Portero
2015,Juventus,Leonardo Bonucci,Italia,28,Defensa central 
2015,Juventus,Giorgio Chiellini,Italia,30,Defensa central 
2015,Juventus,Angelo Ogbonna,Italia,27,Defensa central 
2015,Juventus,Martín Cáceres,Uruguay,28,Defensa central 
2015,Juventus,Luca Marrone,Italia,25,Defensa central 
2015,Juventus,Andrea Barzagli,Italia,34,Defensa central 
2015,Juventus,Filippo Romagna,Italia,18,Defensa central 
2015,Juventus,Patrice Evra,Francia,34,Lateral izquierdo
2015,Juventus,Paolo De Ceglie,Italia,28,Lateral izquierdo
2015,Juventus,Stephan Lichtsteiner,Suiza,31,Lateral derecho
2015,Juventus,Marco Motta,Italia,29,Lateral derecho
2015,Juventus,Federico Mattiello,Italia,19,Lateral derecho
2015,Juventus,Andrea Pirlo,Italia,36,Mediocampista defensivo
2015,Juventus,Paul Pogba,Francia,22,Mediocampista
2015,Juventus,Arturo Vidal,Chile,28,Mediocampista
2015,Juventus,Claudio Marchisio,Italia,29,Mediocampista
2015,Juventus,Roberto Pereyra,Argentina,24,Mediocampista
2015,Juventus,Rômulo,Italia,28,Mediocampista
2015,Juventus,Stefano Sturaro,Italia,22,Mediocampista
2015,Juventus,Simone Padoin,Italia,31,Mediocampista
2015,Juventus,Mattia Vitale,Italia,17,Mediocampista
2015,Juventus,Kwadwo Asamoah,Ghana,26,Mediocampista
2015,Juventus,Kingsley Coman,Francia,19,Extremo izquierdo
2015,Juventus,Simone Pepe,Italia,31,Extremo derecho
2015,Juventus,Sebastian Giovinco,Italia,28,Mediocampista ofensivo
2015,Juventus,Carlos Tevez,Argentina,31,Delantero centro
2015,Juventus,Álvaro Morata,España,22,Delantero centro
